MANZANA,OID,ECO1,ECO2,ECO3,ECO4,ECO5,ECO6,ECO7,ECO10,ECO13,ECO16,ECO19,ECO22,ECO25,ECO26,ECO27,ECO28,ECO29,ECO30,ECO31,ECO34,ECO37,ECO40,ECO43
0901000011190009,40080,129,63,66,122,60,62,9,9,3,22,32,46,7,3,4,88,58,30,18,33,32,3,0
0901000011190029,40213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190005,40214,136,67,69,132,65,67,5,10,0,17,32,66,4,0,0,147,98,49,41,38,46,0,20
0901000011190015,40217,107,42,65,101,41,60,0,8,3,18,26,46,6,0,5,74,51,23,16,26,32,0,0
0901000011190013,40218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190014,40219,118,44,74,109,43,66,0,13,6,25,25,39,9,0,8,90,61,29,18,33,31,0,6
0901000011190004,40220,62,26,36,56,22,34,9,4,0,11,15,13,6,4,0,46,33,13,11,13,19,0,3
0901000011190020,40221,86,41,45,82,39,43,4,9,0,17,18,33,4,0,0,55,39,16,11,13,27,0,4
0901000011190003,40222,59,29,30,56,29,27,4,10,0,10,19,11,3,0,3,53,33,20,18,18,17,0,0
0901000011190012,40223,130,50,80,125,48,77,0,7,4,23,35,55,5,0,3,98,72,26,23,35,35,3,0
0901000011190011,40224,72,40,32,65,39,26,0,12,0,10,26,16,7,0,6,81,54,27,25,23,26,4,3
090100001110A011,40253,148,66,82,141,63,78,0,19,4,21,35,62,7,3,4,112,78,34,11,51,49,0,0
0901000011222030,40254,134,59,75,130,58,72,0,8,0,19,27,73,4,0,3,118,85,33,23,31,40,4,20
0901000011222029,40255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011222028,40256,36,15,21,33,15,18,0,0,0,4,6,22,3,0,3,31,19,12,6,11,11,0,0
0901000011222026,40257,55,25,30,51,25,26,0,6,0,15,11,17,4,0,4,41,28,13,8,16,15,0,0
0901000011222022,40258,16,10,6,15,10,5,0,3,0,0,3,6,0,0,0,13,11,0,0,8,5,0,0
0901000011222027,40259,26,15,11,22,13,9,0,3,0,0,7,10,4,0,0,17,11,6,6,3,7,0,0
0901000011222017,40260,7,4,3,7,4,3,0,0,0,0,0,3,0,0,0,9,7,0,0,0,5,0,0
0901000011222018,40261,61,32,29,60,32,28,0,9,0,19,15,13,0,0,0,19,7,12,4,10,4,0,0
0901000011222023,40262,14,5,9,14,5,9,0,0,0,0,7,4,0,0,0,8,5,3,0,3,0,0,0
0901000011237032,40279,41,18,23,39,17,22,0,4,4,7,12,12,0,0,0,37,25,12,4,15,14,0,0
0901000011237009,40280,53,20,33,49,18,31,0,12,5,16,10,5,4,0,0,48,28,20,9,14,17,0,8
0901000011237017,40281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190010,41647,81,42,39,77,39,38,6,7,0,8,21,34,4,3,0,60,44,16,18,17,18,0,6
