MANZANA,OID,EDU1,EDU4,EDU7,EDU10,EDU13,EDU16,EDU19,EDU22,EDU25,EDU28,EDU31,EDU34,EDU37,EDU40,EDU43,EDU46
0901000011190009,40080,4,0,19,0,11,0,18,0,191,0,17,48,33,107,41,46
0901000011190029,40213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190005,40214,5,0,14,0,8,0,21,0,266,4,9,53,36,177,65,89
0901000011190015,40217,0,0,13,0,3,0,9,0,176,0,3,29,29,117,37,61
0901000011190013,40218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190014,40219,3,4,15,0,6,0,21,0,199,3,5,50,38,109,38,56
0901000011190004,40220,0,0,10,0,3,0,4,0,86,0,18,23,13,48,21,20
0901000011190020,40221,8,0,8,0,4,0,9,0,130,0,8,29,25,76,32,40
0901000011190003,40222,0,0,7,0,4,0,9,0,101,0,9,26,17,56,30,20
0901000011190012,40223,8,0,20,0,7,0,20,0,217,4,3,46,32,140,61,60
0901000011190011,40224,3,0,11,0,8,0,15,0,146,0,0,47,24,76,44,24
090100001110A011,40253,6,0,7,0,11,0,20,0,245,3,0,48,36,162,56,77
0901000011222030,40254,6,3,20,0,10,0,23,0,231,7,20,34,41,144,48,80
0901000011222029,40255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011222028,40256,0,0,0,0,3,0,5,0,60,0,3,4,10,47,11,32
0901000011222026,40257,0,0,14,0,4,0,16,0,87,0,5,21,20,46,18,18
0901000011222022,40258,0,0,0,0,3,0,4,0,26,0,0,5,4,17,8,7
0901000011222027,40259,0,0,0,0,0,0,3,0,41,0,0,8,6,27,12,14
0901000011222017,40260,0,0,3,0,0,0,4,0,14,0,0,5,0,8,0,6
0901000011222018,40261,3,0,6,0,0,0,5,0,77,0,0,17,22,37,21,12
0901000011222023,40262,0,0,0,0,0,0,3,0,19,0,0,3,5,11,7,4
0901000011237032,40279,3,0,7,0,4,0,8,0,74,0,0,18,17,37,20,12
0901000011237009,40280,0,0,8,0,4,0,9,0,96,0,3,36,25,33,19,12
0901000011237017,40281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190010,41647,4,0,6,0,8,0,10,0,125,0,10,32,16,76,31,38
