MANZANA,POB1,POB2,POB3,POB4,POB5,POB6,POB7,POB8,POB9,POB10,POB11,POB12,POB13,POB14,POB15,POB16,POB17,POB18,POB19,POB20,POB21,POB22,POB23,POB24,POB25,POB31,POB32,POB33,POB34,POB35,POB36,POB37,POB38,POB39,POB40,POB41,POB42,POB43,POB44,POB45,POB46,POB47,POB48,POB49,POB50,POB51,POB52,POB53,POB54,POB55,POB56,POB57,POB58,POB59,POB60,POB61,POB62,POB63,POB64,POB65,POB66,POB67,POB68,POB69,POB70,POB71,POB72,POB73,POB74,POB75,POB76,POB77,POB78,POB79,POB80,POB81
0901000011190009,270,13,18,6,19,20,11,49,9,42,57,175,33,73,33,12,251,246,226,215,206,173,52,40,34,144,5,5,0,9,8,5,20,6,24,32,73,96,18,41,18,5,136,136,126,121,115,97,30,25,22,126,8,13,5,10,12,6,29,3,18,25,79,15,32,15,7,115,110,100,94,91,76,22,15,12
0901000011190029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190005,314,6,10,7,15,22,9,37,10,43,67,229,33,95,49,18,308,304,286,277,267,234,66,48,38,182,4,5,3,8,12,5,20,7,27,40,95,134,20,55,29,10,178,177,167,162,155,135,38,28,22,132,0,5,4,7,10,4,17,3,16,27,95,13,40,20,8,130,127,119,115,112,99,28,20,16
0901000011190015,201,3,6,3,14,11,3,23,8,30,48,150,22,61,31,10,198,195,181,178,170,148,38,28,21,102,0,0,0,7,7,3,12,4,14,27,55,75,10,28,15,5,101,100,93,90,86,76,20,15,12,99,0,4,0,7,4,0,11,4,16,21,75,12,33,16,5,97,95,88,88,84,72,18,13,9
0901000011190013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0901000011190014,241,6,12,7,15,21,8,36,17,41,58,170,24,69,28,15,235,229,213,205,188,164,50,35,26,123,3,7,5,7,8,3,18,8,22,28,64,84,14,36,12,8,120,116,108,105,97,83,29,21,16,118,3,5,0,8,13,5,18,9,19,30,86,10,33,16,7,115,113,105,100,91,81,21,14,10
0901000011190004,128,3,3,0,10,6,3,16,4,17,26,81,13,28,18,9,119,119,109,106,102,89,34,25,16,68,0,0,0,4,0,0,6,4,10,13,28,43,6,15,12,3,64,64,60,59,55,49,19,16,8,60,0,0,0,6,4,0,10,0,7,13,38,7,13,6,6,55,55,49,47,47,40,15,9,8
0901000011190020,164,0,5,9,8,9,4,23,0,19,32,112,17,49,19,12,159,156,142,138,136,119,38,26,20,89,0,3,6,0,3,0,9,0,12,19,46,64,10,27,12,6,88,85,81,79,77,67,21,15,11,75,0,0,3,7,6,0,14,0,7,13,48,7,22,7,6,71,71,61,59,59,52,17,11,9
0901000011190003,129,4,6,3,7,9,4,18,4,20,32,90,16,26,22,10,122,120,112,108,104,88,28,18,11,74,3,5,0,5,6,3,13,0,9,18,31,50,9,13,15,4,69,67,62,59,59,50,13,9,5,55,0,0,0,0,3,0,5,4,11,14,40,7,13,7,6,53,53,50,49,45,38,15,9,6
0901000011190012,260,4,8,8,20,20,7,39,12,38,61,192,26,74,39,18,256,252,228,221,209,183,47,29,26,136,0,4,3,9,10,5,19,7,18,31,70,99,11,39,22,7,134,132,122,117,110,99,25,18,17,124,0,4,5,11,10,0,20,5,20,30,93,15,35,17,11,122,120,106,104,99,84,22,11,9
